StudentId,Session,Idle_time,Mouse_wheel,mouse_wheel_click,mouse_click_left,mouse_click_right,mouse_movement,keystroke,StudentId_x,Session_x,Idle_time_x,Mouse_wheel_x,mouse_wheel_click_x,mouse_click_left_x,mouse_click_right_x,mouse_movement_x,keystroke_x,StudentId_y,Session_y,Idle_time_y,Mouse_wheel_y,mouse_wheel_click_y,mouse_click_left_y,mouse_click_right_y,mouse_movement_y,keystroke_y,"('Mouse_wheel', 1)","('Mouse_wheel', 2)","('Mouse_wheel', 3)","('Mouse_wheel', 4)","('Mouse_wheel', 5)","('Mouse_wheel', 6)","('mouse_wheel_click', 1)","('mouse_wheel_click', 2)","('mouse_wheel_click', 3)","('mouse_wheel_click', 4)","('mouse_wheel_click', 5)","('mouse_wheel_click', 6)","('mouse_click_left', 1)","('mouse_click_left', 2)","('mouse_click_left', 3)","('mouse_click_left', 4)","('mouse_click_left', 5)","('mouse_click_left', 6)","('mouse_click_right', 1)","('mouse_click_right', 2)","('mouse_click_right', 3)","('mouse_click_right', 4)","('mouse_click_right', 5)","('mouse_click_right', 6)","('mouse_movement', 1)","('mouse_movement', 2)","('mouse_movement', 3)","('mouse_movement', 4)","('mouse_movement', 5)","('mouse_movement', 6)","('keystroke', 1)","('keystroke', 2)","('keystroke', 3)","('keystroke', 4)","('keystroke', 5)","('keystroke', 6)",Student Id,Session 2,Session 3,Session 4,Session 5,Session 6,"ES 1.1 
(2 points)","ES 1.2 
(3 points)","ES 2.1
(2 points)","ES 2.2
(3 points)","ES 3.1
(1 points)","ES 3.2
(2 points)","ES 3.3
(2 points)","ES 3.4
(2 points)","ES 3.5
(3 points)","ES 4.1
(15 points)","ES 4.2
(10 points)","ES 5.1
(2 points)","ES 5.2
(10 points)","ES 5.3
(3 points)","ES 6.1
(25 points)","ES 6.2
(15 points)","TOTAL
(100 points)",Trecut/Picat
2,1,183788997.0,0,0,2,0,82,1176,2,1,183788997.0,0,0,2,0,82,1176,2,1,183788997.0,0,0,2,0,82,1176,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,1,183788997.0,0,0,2,0,82,1176,2,2,516380302.0,0,0,3938,98,73910,5151,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,1,183788997.0,0,0,2,0,82,1176,2,3,627343084.0,1379,0,5662,306,265941,4949,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,1,183788997.0,0,0,2,0,82,1176,2,4,106454854.0,834,0,2126,88,102764,2254,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,1,183788997.0,0,0,2,0,82,1176,2,5,117931392.0,1577,0,2422,166,131840,3192,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,1,183788997.0,0,0,2,0,82,1176,2,6,278954284.0,882,0,3104,104,179267,1546,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,2,516380302.0,0,0,3938,98,73910,5151,2,1,183788997.0,0,0,2,0,82,1176,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,2,516380302.0,0,0,3938,98,73910,5151,2,2,516380302.0,0,0,3938,98,73910,5151,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,2,516380302.0,0,0,3938,98,73910,5151,2,3,627343084.0,1379,0,5662,306,265941,4949,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
2,1,183788997.0,0,0,2,0,82,1176,2,2,516380302.0,0,0,3938,98,73910,5151,2,4,106454854.0,834,0,2126,88,102764,2254,0,0,1379,834,1577,882,0,0,0,0,0,0,2,3938,5662,2126,2422,3104,0,98,306,88,166,104,82,73910,265941,102764,131840,179267,1176,5151,4949,2254,3192,1546,2,4.0,3.5,4.5,4.0,1.0,2.0,3.0,2.0,0.5,1.0,2,0.0,2.0,3.0,15.0,2.0,0.0,5.0,1.5,5.0,0.0,44.0,0
